"type","count_1","rate_1","count_2","rate_2","count_3","rate_3","count_4","rate_4","count_5","rate_5","count_6","rate_6","count_7","rate_7","count_8","rate_8","count_9","rate_9","count_10","rate_10","count_11","rate_11","count_12","rate_12","count_13","rate_13","count_14","rate_14","count_15","rate_15","count_16","rate_16"
"FC_1","0","0","0","0","188","0.0173287860632316","301","0.0277444925799613","266","0.0283884738527214","119","0.0200809989875127","46","0.0223084384093113","22","0.0260972716488731","15","0.0365853658536585","10","0.0492610837438424","0","0","1","0.0344827586206897","0","0","0","0","0","0","0","0"
"FS_0","105","0.00967831136510277","185","0.0170522628813716","151","0.0139183334869573","150","0.013826159093004","131","0.0139807897545358","149","0.0251434357070537","36","0.017458777885548","14","0.0166073546856465","4","0.00975609756097561","11","0.0541871921182266","1","0.0133333333333333","0","0","0","0","0","0","0","0","0","0"
"KC_1","0","0","0","0","116","0.0106922296985897","154","0.0141948566688174","113","0.012059765208111","33","0.00556868039149511","19","0.00921435499515034","7","0.00830367734282325","4","0.00975609756097561","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ST_0","88","0.00811134666789566","91","0.00838786984975574","81","0.00746612591022214","66","0.00608351000092174","48","0.00512273212379936","50","0.00843739453256834","15","0.007274490785645","5","0.00593119810201661","8","0.0195121951219512","2","0.00985221674876847","0","0","0","0","0","0","0","0","0","0","0","0"
"FS_1","0","0","0","0","78","0.00718960272836206","116","0.0106922296985897","105","0.0112059765208111","37","0.00624367195410057","14","0.00678952473326867","13","0.0154211150652432","13","0.0317073170731707","4","0.0197044334975369","2","0.0266666666666667","0","0","0","0","0","0","0","0","0","0"
"ST_1","0","0","0","0","29","0.00267305742464743","49","0.00451654530371463","30","0.0032017075773746","10","0.00168747890651367","13","0.00630455868089234","1","0.00118623962040332","1","0.0024390243902439","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KN_0","18","0.00165913909116048","17","0.00156696469720712","10","0.000921743939533598","11","0.00101391833348696","9","0.00096051227321238","7","0.00118123523455957","2","0.000969932104752667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SV_0","5","0.000460871969766799","8","0.000737395151626878","7","0.000645220757673518","4","0.000368697575813439","6","0.00064034151547492","2","0.000337495781302734","0","0","0","0","2","0.0048780487804878","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KN_1","0","0","0","0","6","0.000553046363720159","9","0.000829569545580238","6","0.00064034151547492","1","0.000168747890651367","1","0.000484966052376334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SV_1","0","0","0","0","4","0.000368697575813439","5","0.000460871969766799","1","0.000106723585912487","1","0.000168747890651367","1","0.000484966052376334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives","False Negatives"
"FF_0","3210","0.360755225893459","2991","0.336142953472691","2754","0.309507754551585","2503","0.281299168352439","1757","0.197460103394021","1065","0.119878433138226","1991","0.257567917205692","747","0.25219446320054","266","0.25552353506244","92","0.238961038961039","34","0.225165562913907","12","0.214285714285714","4","0.210526315789474","2","0.285714285714286","0","0","1","0.5"
